Source,Target,Type,Id,Label,timeset,Weight
http://www.wikidata.org/entity/Q22106544,https://orcid.org/0000-0002-3407-4978,Undirected,32731,,,2
http://www.wikidata.org/entity/Q22106544,https://orcid.org/0000-0003-0665-2977,Undirected,32732,,,6
http://www.wikidata.org/entity/Q22106544,https://orcid.org/0000-0003-0700-8294,Undirected,32733,,,2
http://www.wikidata.org/entity/Q22110911,http://www.wikidata.org/entity/Q2958972,Undirected,32734,,,2
http://www.wikidata.org/entity/Q22110911,http://www.wikidata.org/entity/Q7183790,Undirected,32735,,,2
http://www.wikidata.org/entity/Q221125,http://www.wikidata.org/entity/Q8006656,Undirected,32736,,,4
http://www.wikidata.org/entity/Q22112740,http://www.wikidata.org/entity/Q22113468,Undirected,32737,,,4
http://www.wikidata.org/entity/Q22112740,https://orcid.org/0000-0002-2204-8414,Undirected,32738,,,242
http://www.wikidata.org/entity/Q22112740,https://orcid.org/0000-0003-3416-1286,Undirected,32739,,,18
http://www.wikidata.org/entity/Q22113085,http://www.wikidata.org/entity/Q3518898,Undirected,32740,,,11378
http://www.wikidata.org/entity/Q22113085,http://www.wikidata.org/entity/Q4529589,Undirected,32741,,,266
http://www.wikidata.org/entity/Q22113085,http://www.wikidata.org/entity/Q56033999,Undirected,32742,,,1586
http://www.wikidata.org/entity/Q22113085,http://www.wikidata.org/entity/Q5957868,Undirected,32743,,,8
http://www.wikidata.org/entity/Q22113085,http://www.wikidata.org/entity/Q61813134,Undirected,32744,,,56
http://www.wikidata.org/entity/Q22113085,http://www.wikidata.org/entity/Q61814950,Undirected,32745,,,9868
http://www.wikidata.org/entity/Q22113085,http://www.wikidata.org/entity/Q6829044,Undirected,32746,,,6
http://www.wikidata.org/entity/Q22113085,http://www.wikidata.org/entity/Q68797376,Undirected,32747,,,33966
http://www.wikidata.org/entity/Q22113085,https://orcid.org/0000-0003-0665-2977,Undirected,32748,,,248
http://www.wikidata.org/entity/Q22113097,http://www.wikidata.org/entity/Q22113468,Undirected,32749,,,80
http://www.wikidata.org/entity/Q22113150,http://www.wikidata.org/entity/Q22113468,Undirected,32750,,,102
http://www.wikidata.org/entity/Q22113150,http://www.wikidata.org/entity/Q4723291,Undirected,32751,,,2
http://www.wikidata.org/entity/Q22113150,https://orcid.org/0000-0001-8549-8933,Undirected,32752,,,2
http://www.wikidata.org/entity/Q22113150,https://orcid.org/0000-0003-3416-1286,Undirected,32753,,,76
http://www.wikidata.org/entity/Q22113468,http://www.wikidata.org/entity/Q3791475,Undirected,32754,,,326
http://www.wikidata.org/entity/Q22113468,http://www.wikidata.org/entity/Q41971951,Undirected,32755,,,148
http://www.wikidata.org/entity/Q22113468,http://www.wikidata.org/entity/Q5077706,Undirected,32756,,,268
http://www.wikidata.org/entity/Q22113468,https://orcid.org/0000-0002-2204-8414,Undirected,32757,,,28
http://www.wikidata.org/entity/Q22113468,https://orcid.org/0000-0003-0761-9116,Undirected,32758,,,68
http://www.wikidata.org/entity/Q22113468,https://orcid.org/0000-0003-3416-1286,Undirected,32759,,,140
http://www.wikidata.org/entity/Q22114212,https://orcid.org/0000-0002-1569-9403,Undirected,32760,,,72
http://www.wikidata.org/entity/Q2214976,http://www.wikidata.org/entity/Q3429111,Undirected,32761,,,2
http://www.wikidata.org/entity/Q2214976,http://www.wikidata.org/entity/Q4753777,Undirected,32762,,,4
http://www.wikidata.org/entity/Q223963,http://www.wikidata.org/entity/Q377094,Undirected,32763,,,4
http://www.wikidata.org/entity/Q2259136,http://www.wikidata.org/entity/Q6141779,Undirected,32764,,,2
http://www.wikidata.org/entity/Q2259136,https://orcid.org/0000-0002-7619-824X,Undirected,32765,,,4
http://www.wikidata.org/entity/Q2262181,http://www.wikidata.org/entity/Q94686252,Undirected,32766,,,10
