"","person_id_1","person_id_2","records"
"1453","http://www.wikidata.org/entity/Q1871895","http://www.wikidata.org/entity/Q250148",6
"1454","http://www.wikidata.org/entity/Q1871895","http://www.wikidata.org/entity/Q6291468",28
"1455","http://www.wikidata.org/entity/Q1871895","http://www.wikidata.org/entity/Q75991587",10
"1456","http://www.wikidata.org/entity/Q1871895","http://www.wikidata.org/entity/Q87204685",2812
"1457","http://www.wikidata.org/entity/Q1871895","https://orcid.org/0000-0003-4013-3804",2
"1458","http://www.wikidata.org/entity/Q1873929","http://www.wikidata.org/entity/Q2340063",2
"1459","http://www.wikidata.org/entity/Q1873929","http://www.wikidata.org/entity/Q2656885",20
"1460","http://www.wikidata.org/entity/Q1873929","http://www.wikidata.org/entity/Q4164135",2
"1461","http://www.wikidata.org/entity/Q1873929","http://www.wikidata.org/entity/Q711591",4
"1462","http://www.wikidata.org/entity/Q1873929","http://www.wikidata.org/entity/Q8344897",4
"1463","http://www.wikidata.org/entity/Q1873929","http://www.wikidata.org/entity/Q87901404",2
"1464","http://www.wikidata.org/entity/Q1873929","http://www.wikidata.org/entity/Q968961",2
"1465","http://www.wikidata.org/entity/Q18756405","http://www.wikidata.org/entity/Q3184048",2
"1466","http://www.wikidata.org/entity/Q18761973","http://www.wikidata.org/entity/Q3046674",2
"1467","http://www.wikidata.org/entity/Q18761973","http://www.wikidata.org/entity/Q4230109",2
"1468","http://www.wikidata.org/entity/Q18763674","http://www.wikidata.org/entity/Q21341785",4
"1469","http://www.wikidata.org/entity/Q18763674","http://www.wikidata.org/entity/Q2831410",30
"1470","http://www.wikidata.org/entity/Q18763674","http://www.wikidata.org/entity/Q6170741",10
"1471","http://www.wikidata.org/entity/Q18763674","http://www.wikidata.org/entity/Q951746",12
"1472","http://www.wikidata.org/entity/Q18818501","http://www.wikidata.org/entity/Q8963054",2
"1473","http://www.wikidata.org/entity/Q18818801","http://www.wikidata.org/entity/Q19115006",4
"1474","http://www.wikidata.org/entity/Q18818832","http://www.wikidata.org/entity/Q5345292",4
"1475","http://www.wikidata.org/entity/Q18818832","https://orcid.org/0000-0001-8549-8933",2
"1476","http://www.wikidata.org/entity/Q1884616","http://www.wikidata.org/entity/Q21608875",2
"1477","http://www.wikidata.org/entity/Q18911682","http://www.wikidata.org/entity/Q289681",54
"1478","http://www.wikidata.org/entity/Q18982718","http://www.wikidata.org/entity/Q5666633",2
