,gen1,gen2,bd1,bd2,agediff,genderdiff,id1,id2
4644,male,male,1795-10-20T00:00:00Z,1798-02-03T00:00:00Z,2.293150684931507,m-m,http://www.wikidata.org/entity/Q66077,http://www.wikidata.org/entity/Q67359
4645,male,male,1798-02-03T00:00:00Z,1795-10-20T00:00:00Z,2.293150684931507,m-m,http://www.wikidata.org/entity/Q67359,http://www.wikidata.org/entity/Q66077
4646,male,male,1811-10-11T00:00:00Z,1794-04-13T00:00:00Z,17.504109589041096,m-m,http://www.wikidata.org/entity/Q21515839,http://www.wikidata.org/entity/Q4758589
4647,male,male,1780-02-19T00:00:00Z,1797-08-10T00:00:00Z,17.484931506849314,m-m,http://www.wikidata.org/entity/Q6167458,http://www.wikidata.org/entity/Q77121
4648,male,male,1804-12-09T00:00:00Z,1827-09-29T00:00:00Z,22.81917808219178,m-m,http://www.wikidata.org/entity/Q15300543,http://www.wikidata.org/entity/Q71523
4652,male,male,1815-10-12T00:00:00Z,1796-08-15T00:00:00Z,19.167123287671235,m-m,http://www.wikidata.org/entity/Q6284066,http://www.wikidata.org/entity/Q1346660
4653,male,male,1825-02-25T00:00:00Z,1832-01-01T00:00:00Z,6.852054794520548,m-m,http://www.wikidata.org/entity/Q64899,http://www.wikidata.org/entity/Q5933270
4654,male,male,1855-05-08T00:00:00Z,1873-07-07T00:00:00Z,18.17808219178082,m-m,http://www.wikidata.org/entity/Q536268,http://www.wikidata.org/entity/Q1291546
4655,male,male,1819-01-03T00:00:00Z,1816-01-01T00:00:00Z,3.0082191780821916,m-m,http://www.wikidata.org/entity/Q21608066,http://www.wikidata.org/entity/Q13104341
4656,male,male,1816-01-01T00:00:00Z,1819-01-03T00:00:00Z,3.0082191780821916,m-m,http://www.wikidata.org/entity/Q13104341,http://www.wikidata.org/entity/Q21608066
4657,male,male,1792-10-18T00:00:00Z,1803-08-01T00:00:00Z,10.789041095890411,m-m,http://www.wikidata.org/entity/Q507298,http://www.wikidata.org/entity/Q4084961
4662,male,female,1832-01-01T00:00:00Z,1836-09-03T00:00:00Z,4.676712328767123,mixed,http://www.wikidata.org/entity/Q5933270,http://www.wikidata.org/entity/Q4815030
4663,male,male,1832-01-01T00:00:00Z,1823-08-28T00:00:00Z,8.35068493150685,m-m,http://www.wikidata.org/entity/Q5933270,http://www.wikidata.org/entity/Q650220
4664,male,female,1832-01-01T00:00:00Z,1845-03-02T00:00:00Z,13.175342465753424,mixed,http://www.wikidata.org/entity/Q5933270,http://www.wikidata.org/entity/Q36147304
4665,male,male,1890-09-26T00:00:00Z,1907-04-09T00:00:00Z,16.542465753424658,m-m,http://www.wikidata.org/entity/Q1685853,http://www.wikidata.org/entity/Q1413874
4666,male,male,1890-09-26T00:00:00Z,1905-12-16T00:00:00Z,15.23013698630137,m-m,http://www.wikidata.org/entity/Q1685853,http://www.wikidata.org/entity/Q730026
4667,male,male,1890-09-26T00:00:00Z,1872-12-10T00:00:00Z,17.805479452054794,m-m,http://www.wikidata.org/entity/Q1685853,http://www.wikidata.org/entity/Q55699616
4668,male,male,1919-01-01T00:00:00Z,1915-04-09T00:00:00Z,3.734246575342466,m-m,http://www.wikidata.org/entity/Q28148127,http://www.wikidata.org/entity/Q2848789
4669,male,male,1840-11-01T00:00:00Z,1852-07-24T00:00:00Z,11.734246575342466,m-m,http://www.wikidata.org/entity/Q1219227,http://www.wikidata.org/entity/Q1223260
4670,male,male,1840-11-01T00:00:00Z,1860-06-13T00:00:00Z,19.627397260273973,m-m,http://www.wikidata.org/entity/Q1219227,http://www.wikidata.org/entity/Q5361185
4671,male,male,1852-07-24T00:00:00Z,1840-11-01T00:00:00Z,11.734246575342466,m-m,http://www.wikidata.org/entity/Q1223260,http://www.wikidata.org/entity/Q1219227
4672,male,male,1911-01-01T00:00:00Z,1908-11-04T00:00:00Z,2.158904109589041,m-m,http://www.wikidata.org/entity/Q16014210,http://www.wikidata.org/entity/Q4078297
4673,male,male,1911-01-01T00:00:00Z,1925-01-01T00:00:00Z,14.01095890410959,m-m,http://www.wikidata.org/entity/Q16014210,http://www.wikidata.org/entity/Q4468157
4674,male,male,1911-01-01T00:00:00Z,1909-05-30T00:00:00Z,1.5917808219178082,m-m,http://www.wikidata.org/entity/Q16014210,http://www.wikidata.org/entity/Q2063048
4675,male,male,1911-01-01T00:00:00Z,1908-04-13T00:00:00Z,2.7205479452054795,m-m,http://www.wikidata.org/entity/Q16014210,http://www.wikidata.org/entity/Q1242094
4676,male,male,1847-01-01T00:00:00Z,1856-09-04T00:00:00Z,9.682191780821919,m-m,http://www.wikidata.org/entity/Q6118176,http://www.wikidata.org/entity/Q2547765
